mode,track,kind,level,key,n_parcels,av_base,pred_total,pred_land,pred_imps,share_report,share_model,run,scenario,act_total,act_land,act_imps,act_prev,act_n,nbhds,area_name,err_total,err_land,err_imps,miss_usd,n_parcels_all,av_base_all,coverage_ratio,coverage_basis,count_ratio,coverage_flag,cell_type,cell_label,actual_scope,mode_lab,pred_total_baseline,pred_total_optimistic,pred_total_pessimistic,pred_total_min,pred_total_max,scen_inverted,spec_root,tiny,in_summary,is_primary
model_rows,res,geo,area,7,18,10618600,-0.199492833330194,-0.0209999999999998,-1,0,1,anchored,baseline,-0.021,,,856900,,,,-0.178492833330194,,,-1895344,8662,7117898196.25815,0.958966530815822,panel mean AV / report mean AV,,FALSE,Residential area,Res 7,area report,Model-sourced parcels (anchored run),-0.199492833330194,0.034768654222292,0.025114554429678,-0.199492833330194,0.034768654222292,FALSE,,TRUE,FALSE,TRUE
model_rows,res,geo,area,42,12,7959000,-0.15002186204297,-0.0189999999999995,-1,0,1,anchored,baseline,-0.019,,,1056500,,,,-0.13102186204297,,,-1042803,5761,5933025505.61249,0.974785002441469,panel mean AV / report mean AV,,FALSE,Residential area,Res 42,area report,Model-sourced parcels (anchored run),-0.15002186204297,-0.00618574445663522,0.00243666787730623,-0.15002186204297,0.00243666787730623,TRUE,,TRUE,FALSE,TRUE
model_rows,res,geo,area,18,41,11680000,-0.100344691780823,0.00199999999999934,-1,0,1,anchored,baseline,0.002,,,654800,,,,-0.102344691780823,,,-1195386.00000001,6142,3536024734.8125,0.879218487352097,panel mean AV / report mean AV,,FALSE,Residential area,Res 18,area report,Model-sourced parcels (anchored run),-0.100344691780823,,,-0.100344691780823,-0.100344691780823,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,25,1,468000,-0.118478632478632,-0.0269999999999994,-1,0,1,anchored,baseline,-0.027,,,649100,,,,-0.0914786324786319,,,-42811.9999999997,337,201688893.219068,0.922020278335939,panel mean AV / report mean AV,,FALSE,Residential area,Res 25,area report,Model-sourced parcels (anchored run),-0.118478632478632,,,-0.118478632478632,-0.118478632478632,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,79,18,8416000,-0.100533269961978,-0.0160000000000006,-1,0,1,anchored,baseline,-0.016,,,761300,,,,-0.0845332699619778,,,-711432.000000005,8801,6194372332.23027,0.92450540735698,panel mean AV / report mean AV,,FALSE,Residential area,Res 79,area report,Model-sourced parcels (anchored run),-0.100533269961978,,,-0.100533269961978,-0.100533269961978,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,14,31,48805000,-0.0896055731994677,-0.00600000000000045,-1,0,1,anchored,baseline,-0.006,,,2230700,,,,-0.0836055731994677,,,-4080370.00000002,4739,10320404416.86,0.976267518229309,panel mean AV / report mean AV,,FALSE,Residential area,Res 14,area report,Model-sourced parcels (anchored run),-0.0896055731994677,,,-0.0896055731994677,-0.0896055731994677,,,FALSE,TRUE,TRUE
model_rows,res,geo,area,11,17,11184000,-0.0708422746781121,0.00499999999999945,-1,0,1,anchored,baseline,0.005,,,1402900,,,,-0.0758422746781121,,,-848220.000000006,7077,9465738915.87358,0.953407602658707,panel mean AV / report mean AV,,FALSE,Residential area,Res 11,area report,Model-sourced parcels (anchored run),-0.0708422746781121,,,-0.0708422746781121,-0.0708422746781121,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,22,10,3078000,-0.0668105912930472,-0.00299999999999989,-1,0,1,anchored,baseline,-0.003,,,649700,,,,-0.0638105912930472,,,-196408.999999999,3850,2280561434.61927,0.91173406092293,panel mean AV / report mean AV,,FALSE,Residential area,Res 22,area report,Model-sourced parcels (anchored run),-0.0668105912930472,,,-0.0668105912930472,-0.0668105912930472,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,17,18,18835000,-0.0579977701088398,-0.00299999999999978,-1,0,1,anchored,baseline,-0.003,,,985400,,,,-0.0549977701088398,,,-1035883,6572,6173212367.28041,0.9532374690074,panel mean AV / report mean AV,,FALSE,Residential area,Res 17,area report,Model-sourced parcels (anchored run),-0.0579977701088398,,,-0.0579977701088398,-0.0579977701088398,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,77,8,4403000,-0.0455212355212349,0.00300000000000056,-1,0,1,anchored,baseline,0.003,,,632400,,,,-0.0485212355212349,,,-213638.999999997,6523,3839720088.00585,0.930808468997855,panel mean AV / report mean AV,,FALSE,Residential area,Res 77,area report,Model-sourced parcels (anchored run),-0.0455212355212349,,,-0.0455212355212349,-0.0455212355212349,,,TRUE,FALSE,TRUE
